Game,Outcome,Moves,FinalReward,AvgLoss,AvgQ
1,Win,21,0.525,0.0000,0.0000
2,Loss/Draw,5,-1.025,0.0000,0.0000
3,Win,10,2.070,0.0000,0.0000
4,Win,4,1.090,0.0000,0.0000
5,Loss/Draw,24,-0.300,0.2385,0.0062
6,Win,6,1.490,1.6366,0.2611
7,Win,13,2.465,1.3507,0.4667
8,Loss/Draw,20,-0.280,0.9413,0.7820
9,Win,17,2.445,0.5009,1.0492
10,Win,8,1.575,0.3570,1.1662
11,Win,20,1.035,0.2933,1.2341
12,Win,22,2.525,0.2354,1.3108
13,Win,40,3.145,0.1967,1.3777
14,Loss/Draw,17,-0.255,0.2091,1.4139
15,Loss/Draw,13,-0.645,0.1796,1.4549
16,Win,10,2.070,0.1633,1.5154
17,Win,40,1.430,0.1391,1.5557
18,Loss/Draw,13,-0.550,0.1459,1.5701
19,Win,17,2.550,0.1361,1.6167
20,Win,3,1.095,0.1130,1.6884
21,Win,11,1.360,0.1151,1.6704
22,Loss/Draw,4,-0.915,0.0787,1.7138
23,Win,5,0.980,0.0800,1.6966
24,Win,21,3.140,0.0968,1.7072
25,Loss/Draw,6,-0.925,0.0890,1.7442
26,Loss/Draw,4,-0.610,0.1296,1.7314
27,Win,12,0.055,0.0977,1.7596
28,Win,10,0.065,0.1356,1.7813
29,Win,25,2.415,0.1314,1.8146
30,Win,40,0.830,0.1331,1.8581
31,Win,13,0.565,0.1446,1.8553
32,Loss/Draw,5,-0.920,0.0948,1.9453
33,Loss/Draw,4,-0.010,0.0924,1.8973
34,Win,24,1.015,0.1096,1.9688
35,Win,19,1.240,0.1345,1.9717
36,Win,7,1.485,0.1202,2.0394
37,Loss/Draw,3,-1.015,0.1232,1.9857
38,Loss/Draw,7,-0.625,0.1399,2.0469
39,Win,9,0.175,0.0867,2.1057
40,Win,6,1.080,0.1159,2.1091
41,Win,7,1.380,0.1104,2.1164
42,Win,13,1.970,0.0867,2.1186
43,Loss/Draw,8,-0.830,0.1258,2.1361
44,Win,12,1.355,0.1122,2.1728
45,Loss/Draw,12,-0.745,0.1007,2.1584
46,Loss/Draw,7,-0.625,0.0901,2.1927
47,Loss/Draw,3,-1.015,0.0972,2.1158
48,Win,13,2.875,0.0797,2.2216
49,Win,37,2.755,0.1127,2.2702
50,Win,20,3.040,0.1152,2.2975
51,Win,40,2.135,0.0996,2.3290
52,Win,15,2.350,0.1208,2.3864
53,Win,21,1.320,0.1193,2.4131
54,Win,18,0.835,0.1148,2.4613
55,Win,9,2.075,0.1123,2.4665
56,Win,14,0.855,0.1017,2.5049
57,Win,14,1.145,0.0868,2.5534
58,Win,20,2.630,0.0857,2.5961
59,Win,40,3.040,0.0836,2.6454
60,Win,40,1.735,0.0927,2.7226
61,Win,37,3.955,0.0970,2.7999
62,Loss/Draw,23,-0.295,0.0956,2.8517
63,Win,16,0.340,0.0837,2.9214
64,Loss/Draw,15,-0.150,0.0866,2.9123
65,Loss/Draw,13,-0.340,0.0734,2.9313
66,Win,28,4.000,0.0897,2.9951
67,Win,40,3.145,0.0897,3.0388
68,Win,34,1.365,0.1028,3.0685
69,Win,20,3.430,0.1244,3.1072
70,Loss/Draw,6,-0.420,0.1062,3.2189
71,Win,34,1.165,0.0933,3.2529
72,Win,25,2.920,0.0922,3.2908
73,Win,15,1.855,0.1052,3.3180
74,Win,25,0.705,0.0892,3.3960
75,Loss/Draw,7,-0.825,0.1262,3.4001
76,Loss/Draw,8,-1.040,0.0944,3.4127
77,Win,9,2.475,0.0819,3.4881
78,Win,7,1.285,0.0894,3.4113
79,Win,34,0.870,0.0886,3.4841
80,Win,22,2.725,0.1211,3.5100
81,Win,18,0.330,0.0922,3.5817
82,Win,25,2.510,0.0923,3.6427
83,Win,27,3.605,0.0902,3.6354
84,Win,8,2.080,0.1313,3.6188
85,Win,31,1.685,0.0980,3.7069
86,Win,37,0.350,0.0882,3.7786
87,Win,13,1.865,0.0860,3.7922
88,Loss/Draw,10,-0.640,0.0947,3.8300
89,Win,8,1.270,0.1089,3.8826
90,Win,12,0.770,0.0837,3.8884
91,Win,32,2.780,0.0977,3.9300
92,Win,12,2.775,0.1099,3.9558
93,Win,7,1.590,0.0942,3.9427
94,Win,40,2.345,0.1023,4.0086
95,Win,9,2.075,0.0881,4.0803
96,Win,15,1.645,0.1073,4.0968
97,Win,40,2.240,0.1168,4.0856
98,Win,40,3.040,0.1002,4.1730
99,Win,18,0.540,0.0874,4.2592
100,Win,12,0.055,0.0964,4.2579
101,Win,40,3.145,0.0886,4.3358
